timestamp,post
8h,"The US IPO market gained momentum with a strong Q2 finish.

View the trends in our latest report: https://ow.ly/zFEh50WzAJS"
13h,"NEWS: EY has appointed Bridget Walsh to the firm’s Global Executive Board as the new EY EMEIA Area Managing Partner, effective immediately.

Bridget brings over 25 years of experience in building and leading businesses across EY to EMEIA, which comprises over 90 countries and over 160,000 people.

Prior to this appointment, Bridget served as the EY Global Head of Private Equity and as the EY EMEIA Tax Leader.

Learn more about Bridget here:"
4d,"Nearly 60% of the FTSE 100’s gains over the past decade happened on days when major macro events occurred.

Swipe to see what milestones became key drivers of growth for businesses 👉

Read the full report:"
1w,"21% of senior leaders already invest $10M+ in AI. Next year, 35% plan to do the same. The momentum is real. 

Our latest EY US AI Pulse Survey shows the growing confidence in AI’s transformative potential."
1w,"CIOs, CTOs, and CDOs are at a crossroads.
 
In a turbulent economic and policy environment, many are being asked to:
💡 Fund and scale agentic AI
💰 Manage costs
⚖️ Balance innovation with risk

The pressure is real—but so is the opportunity."
1w,"What do a football legend and a global CEO know about leading teams? 

Turns out, quite a bit — especially when the stakes are high and the playbook’s blank.

Across five candid episodes,and Janet Truncale unpack the real mechanics of high performance. It’s not about having all the answers — it’s about building the team that does. And in today’s world, how we lead matters more than ever.

All in this week’s Must Watch..."
1w,"The 
hashtag
#energy crisis isn't coming — it's here.

64% of businesses say rising and unstable energy costs are impacting profitability.

And yet electricity demand is set to double by 2050, driven largely by business needs.

Energy providers must act now, or risk being left behind 👉"
2d,"AI is at an inflection point... as is AI governance.

As adoption accelerates, so do questions about governance, safety and trust.

A new report by EY and ACCA explores the emerging global ecosystem of AI assessments — which includes services known as “AI assurance” or “AI audits.”

It outlines key challenges and offers concrete suggestions for business leaders and policymakers to help govern AI with confidence.

Read the full report 👇"
2w,"With the signing of the GENIUS Act, we now have a federal framework for stablecoins. 

Our latest briefing outlines essential insights, including prudential requirements and strategic considerations for various stakeholders."
2w,"CFOs are navigating a complex landscape shaped by shifting fiscal, tax, and trade policies. These changes are making decision-making more difficult—but many CFOs are finding ways to move forward. Here's how they're working to get unstuck from uncertainty."
2w,"Gen Z’s definition of success. Tips on how CEOs should weather the storm. And why the next binge-worthy obsession might be written by data and not a screenwriter. 

All in this week’s Must Reads..."
3w,"Would you trust an 
hashtag
#AI wealth advisor with your money?
 
The latest EY Global Wealth Research Report found that 62% of respondents were comfortable with AI as a key component of investment advice, yet only 28% trust AI-driven tools as much as human advisors."
3w,"Why it feels like the business world is in constant whiplash. Agentic AI is shaking up the tax world. And how unlocking neurodivergent skills could close your company’s biggest talent gap. 

All in this week’s Must Reads..."
3w,Here's what retailers need to know to navigate the America First trade policy ⬇️ https://ow.ly/Y1JO50WnOtq
3w,🔎 How EY and Microsoft worked to transform finance operations with AI. https://ow.ly/9mb950WnKEc
3w,"Summer break photo dump 📷💛

Drop your best 
hashtag
#EYSummerBreak photos in the comments! ⬇️"
1w,"By identifying the right financial levers, prioritizing transformation and aligning around a bold strategic vision, healthcare leaders can move from reactive cost-cutting to proactive reinvention. https://ow.ly/9SM650WxAXv"
1w,"Transparency goes beyond financial disclosures. It has become a strategic imperative, key to maintaining investor confidence. https://ow.ly/ESp450Wuy4s"
2w,"Before the final cut, there were flubs, laughs (Keegan-Michael Key never disappoints) and probably a lot of sand in shoes.

Filming our recent commercial with EY golf brand ambassadors Nelly Korda, Ernie Els, Rickie Fowler and Megha Ganne was more than just a months-long creative project—it was a reminder that the best outcomes often come from the unexpected moments in between.

Our Team EY golf sponsorship goes beyond the course. They represent more than talent—they exude leadership, strategy and impeccable execution. So much of who they are and what they do mirrors our purpose of shaping the future with confidence.

🎬 Take a peek behind the scenes. And remember: progress doesn’t always follow a straight line down the fairway."
3w,"How can businesses measure the impact of AI?

Carina shares more👇"
3w,"On AI Appreciation Day, we're celebrating real-world results from GenAI.

Here's how we worked with Bayer | Crop Science to scale the impact of GenAI to help shape the future of agriculture."
3w,"EY.ai for tax, built with IBM watsonx®, enables workflow automation and unlocks data-driven insights to help tax leaders and teams focus on strategic work.

Find out more here 👉"
4w,"In today’s fast-paced and unpredictable business landscape, C-suite leaders and boards are grappling with a host of challenges that require not just strategic thinking but also a willingness to adapt. https://ow.ly/7gl550WmAyW"
1mo,"Move people. Shape Markets. Repeat. 

All in this week’s Must Reads..."
1mo,"As governments explore how they use data and 
hashtag
#AI to drive greater public value, new EY research has identified a significant gap between ambition and reality. 

📌 While 64% of government leaders acknowledge AI's potential, only 26% have integrated it into their operations.

Read the full report 👉"
1mo,"Welcome EY interns! 👋 We're excited for another summer full of inspiration, learning and connection."
4w,"The final reconciliation bill, signed into law July 4, includes tax provisions impacting businesses and individuals alike.

Join our discussion of what made it into the final legislation and what you need to know now."
1mo,"FDI in Europe has declined for the second time since the pandemic with investment hitting a nine-year low.

What steps should business and government leaders take to fire up investment in Europe? Our 12-step action plan focuses on:

➡️ Boosting competitiveness
➡️ Reinforcing resilience
➡️ Fixing the fundamentals

Read more 👉

Full report 👇"
2mo,"Visionaries. Builders. Risk-takers. 

Entrepreneurs everywhere are shaping a better future for us all. See how they’re doing it in this week’s Must Reads..."
2mo,"97% of entrepreneurs we surveyed are confident their businesses will succeed over the next year. 

Find out how entrepreneurs are navigating the current economic environment in our latest EY Entrepreneur Ecosystem Barometer ⬇️"
2mo,"Innovation ignites inspiration. ✨ 
hashtag
#PegaWorld 2025 delivered immersive experiences and insights on ways AI can help deliver customer experiences.

Learn how we’re working withto help clients innovate faster and drive transformative outcomes."
2mo,"This is a big milestone: 25 years of EY World Entrepreneur Of The Year ™.
 
When this event started there were no social media celebrations. There was no social media. There was no video streaming and smart phones just weren’t that smart.

So as we prepare to announce the winner of WEOY 2025, we chart the innovations of the last quarter century celebrate the achievements and vision of entrepreneurs and how they shape the future for us all.

We get it. We’ve always got it. We are entrepreneurs. Together. All in.

To shape the future with confidence."
2mo,"What will it take for Consumer Products companies to thrive again? 

A tougher landscape has emerged, and here's what companies are doing to respond:"
2mo,Celebrating Jewish American Heritage Month alongside our Jewish Business Resource Group.
2mo,"Trump’s first 100 days. Why cyber isn’t just an IT issue anymore. And talent shortages are real — global mobility might be the fix. 

All in this week’s Must Reads..."
2mo,"The public policy landscape in 2025 and beyond remains poised for continued change.

More insights on what to expect next related to these key issues and business considerations. ➡️"
2mo,"Get the latest US IPO trends report with insights into Q1 2025 deals, proceeds and sector activity. ⬇️
https://go.ey.com/4mdVpIG"
1mo,"What will it take to pass the 2025 House GOP tax bill? 

Our Global Tax Policy Leader Aruna Kalyanam weighs in."
1mo,"With decades of experience as a government tax policy professional, Aruna Kalyanam offers insights to help businesses move forward in this fast-paced policy environment. https://go.ey.com/3T7jqnO"
2mo,"Here's how EY worked with a large manufacturing client to save hundreds of millions of dollars and build supply chain resiliency and agility. 
hashtag
#GartnerSC 
hashtag
#BYICON"
3mo,"What does data have to do with racing? 🏎️
Everything.

Gathering the right data with speed can be the key to a podium finish.

Find out how we’re working with some of today’s top sporting organizations to help them create a winning strategy. 🏁"
3mo,"Businesses are facing unparalleled trade and tariff volatility, but the transformational imperatives for dealmaking remain. 

The most successful CEOs will embrace this paradox.

The latest EY-Parthenon CEO Outlook survey, launched today at the Milken Institute Global Conference, reveals how today’s leaders are responding.

👉"
3mo,"What was the main focus at 
hashtag
#RSAC 2025? How to maximize cyber investments. 

Here are 4 key steps: 
✅ Empower CISOs to lead security initiatives.
✅ Align spending to support business goals.
✅ Adopt AI to enhance threat detection.
✅ Build a culture of cybersecurity across the organization."
1mo,"🚨 Applications for the EY Entrepreneurs Access Network 2026 cohort are now open.

connects visionary entrepreneurs to:
🔑 coaching
🌎 community
🤝 curriculum
📈 and capital.

Apply or nominate someone today:"
3mo,"The world's largest family businesses are reshaping the future of global commerce. Companies are finally realizing that ignoring geopolitical risks is no longer an option. And a recent survey shows how people really feel about AI. 

All in this week’s Must Reads..."
1mo,"The way we experience energy is rapidly evolving and customers expect seamless tech-enabled service that matches the pace of change. Rich Charles reveals how utilities are evolving to meet these expectations—and why digital innovation is critical to delivering smarter, more-connected customer journeys."
3mo,Celebrating the MENA community during Arab American Heritage Month.
1mo,"Do you know how U.S. Treasury central clearing will affect your regulatory capital and liquidity? 

explains the factors that will help banks and broker-dealers assess the impact."
1mo,"EY Studio+ brings together 37 specialist design, sales, marketing and customer experience organisations in one offering.

Powered by a full spectrum of services and harnessing the power ofwith deep sector insights to bring a customer-first approach to growth and transformation in the AI era."
2mo,"About last night...

hashtag
#WEOY 
hashtag
#ShapeTheFutureWithConfidence 
hashtag
#Entrepreneurship"
2mo,"Tech is evolving. Markets are unsettled. AI’s rewriting the rules. If you’re not thinking like an entrepreneur, you’re already playing catch-up. 

The most successful leaders today aren’t the ones clinging to playbooks — they’re the ones rewriting them.

Entrepreneurs move fast, fail smarter, and never wait for the perfect conditions.

Now is the time to adopt an entrepreneurial mindset to shape the future rather than be shaped by it."
3mo,"Tariffs. Tariffs. And tariffs. 

All in this week’s Must Reads..."
2mo,The future demands a bold path forward. We built it on a foundation of confidence. Transform your audit experience with EY Audit. https://go.ey.com/4mKJDG7
4mo,"Digital media has officially dethroned television. Transformation is the name of the game. And is your tech built to win or just trying to keep up? 

All in this week’s Must Reads..."
2mo,"Find out how evolving tariffs are impacting the health care supply chain, from small medical practices to large pharmaceutical manufacturers. 👉 https://lnkd.in/eJ5KWdQy"
2mo,"For elite athletes, confidence can be the 🔑 to success. 

Celebrated Ladies Professional Golf Association (LPGA) golfer and gold medalist Nelly Korda shares more."
2mo,What sell-side and buy-side organizations should consider when selecting an access model for U.S. Treasury central clearing. https://go.ey.com/4dwmQcT
2mo,Why companies must earn the right to grow: Capital strategy is now central to resilience and value creation.
4mo,"Health care leaders need to gear up for growth through investment, divestment and transformation as the sector and market evolve rapidly. https://go.ey.com/4iOGDWA
hashtag"
2mo,"As economic uncertainty persists, companies can build resilience by diversifying their revenue streams.

Our Entrepreneurs Council shares strategies to navigate market expansion and sustainable growth:

||||||"
