timestamp,post
1h,"Energy demand in the U.S. is expected to grow nearly 10 times faster over the next decade than it did in the last. 

Next-generation geothermal could become a cost-competitive source of clean, reliable power to help meet that surge."
4h,"Freezing up mid-presentation? You’re not alone.

Communication coach Michael Chad Hoeppner breaks down the most common public speaking mistakes and how to avoid them in his book Don’t Say Um.

Learn how to speak with more confidence and less stress."
7h,"""To go from being great at customer service to being excellent is very hard. To get there, Deutsche Telekom wanted to shift from standardized learning to offering lessons tailored to individual agent needs."" – McKinsey Partner Nicolai von Bismarck

Discover how Deutsche Telekom leveraged AI and millions of pieces of data to deliver personalized training and coaching at scale."
22h,"Companies leading in digital and AI are outperforming their peers by as much as 6x in shareholder returns.

Their edge? A workforce fluent in the digital tools and mindsets that drive impact.

Explore how to build that fluency, close skills gaps, and future-proof your teams."
1d,"What do Strategy Champions do differently? Everything.

They outperform stragglers across all 12 building blocks of strategy, especially when it comes to mobilizing teams and committing to bold moves.

See where top performers build their edge:"
1d,"A $1 trillion reshoring boom is transforming U.S. manufacturing, and 63% of that investment is within reach of rural communities. 

But there’s one missing piece: talent.

Join Sarah Tucker-Ray and Duwain Pinder as they explore how rural schools and industry can partner to unlock opportunity, and tap into $34B in potential annual wages.

Save your spot for the live LinkedIn conversation:

For deeper insight, explore the full article:"
1d,"Small towns… massive opportunity. That’s the simple idea behind two new reports on U.S. rural economic mobility, which look at the challenges facing the 46 million Americans who live in rural communities and how to equitably boost the $2.7 trillion of GDP they contribute each year.

Our first report develops a framework for understanding different archetypes of these communities and their needs, presenting several ideas—from partnerships with high-growth industries to investing in anchor institutions, workforce training, and more—that could help unlock rural America's potential:

Building on that work, the second goes deeper by looking at how smarter partnerships between the manufacturing industry and K-12 school systems—such as apprenticeship programs, manufacturing academies, and more—could help rural communities gain $34 billion in additional wages per year:

These are just a start. Ouris committed to developing independent, objective research to support recommendations that can improve economic inequities, and there will be more to come from our rural communities working group soon.

In the meantime, a huge thanks to the authors—,,,,,,,,, and—and all of our colleagues and clients working on this topic."
3d,"Last week, I joined Josh Bersin in a thought-provoking conversation hosted by Degreed on how the role of Learning & Development is evolving.
We explored what an AI-first learning model means for our field. The shift we’re seeing? From traditional course creation to L&D professionals stepping into roles as technologists, analysts, and performance consultants.

AI isn't just about efficiency. It’s our partner in designing hyper-personalized, in-the-flow learning experiences that scale. When we in L&D work directly with tech teams to design these tools, we create solutions that not only streamline learning but actively develop and coach in real time."
1d,"💭 What’s something you wish you knew early in your career?
This one's from Kweilin Ellingrud, senior partner and co-author of ""The Broken Rung.""
Drop yours in the comments. 👇"
1d,"What do wonder, surprise, and hope have in common? According to bestselling poet Maggie Smith, they’re part of the secret sauce of creativity.

In this edition of Author Talks, she shares how anyone can tap into creative energy, with practical tools and a fresh perspective.

Ready to rethink your creative process?"
2d,"Data centers are the backbone of generative AI, powering everything from your favorite chatbots to enterprise-scale innovations.

By 2030, global investment in data centers could hit $6.7 trillion, driven largely by AI workloads.

Discover what's fueling this growth and how the industry is evolving:"
3d,"What tasks in your role could be reimagined, or automated, to help you focus on what matters most?

For brand marketers, over half of day-to-day activities could be augmented by 2035.

Explore how consumer-facing roles are evolving, and how leaders are creating value by rethinking how work gets done."
3d,"They’re often overlooked, but middle managers sit at the heart of every organization, turning vision into action, building strong teams, and shaping culture.

To unlock their full potential, the role needs a reset. Explore how:"
4d,"Robots that can adapt, learn, and act are stepping out of the lab and into real roles.

Embodied AI is making it possible, and the pace is picking up.

How prepared is your business for what’s next?"
4d,"Many companies are racing to adopt AI, but only some are building the trust needed to scale it safely and successfully.

Our recent insights show that investing in responsible AI now leads to stronger business outcomes, from efficiency to reputation.

Explore what sets AI trust leaders apart, and why falling behind isn’t an option."
5d,"We're proud to partner with Homeboy Industries (HBI), a trailblazer in supporting justice-impacted individuals for over 30 years. 

Through our collaboration, HBI expanded their innovative Workforce Hub Model, codifying and scaling their approach to workforce development. We're honored to have supported HBI's journey toward their mission: helping individuals heal from trauma and contribute fully to their families and communities.

Learn more about the impact HBI is making across communities and our partnership here"
6d,"“I sat on the floor.” 
Here’s what it was like for Dorcas to get her offer to join us as a summer intern. 
hashtag
#McKCareers"
6d,"One in four women return to work just two weeks after giving birth.

To make a difference for parents, Moms First teamed up with McKinsey to understand how many parents were leaving state paid leave on the table and why.

Here’s what they found:"
6d,"Being a great CRO isn’t about having one perfect operating model, its about knowing when to switch between them.

The most agile risk leaders stay grounded in their purpose, yet ready to adapt when the landscape shifts.

Get to know the three CRO archetypes and how to lead with resilience."
6d,"Fuel and convenience retailers are navigating shifting customer expectations and a more crowded market. The right mix of analytics, AI, and customer focus can help them stay ahead.

Explore the moves that matter in our latest article:"
1w,"""It's not only about adding years to life but adding life to years."" - Pooja Kumar, McKinsey senior partner and global leader of the McKinsey Health Institute

Ohio is undergoing a demographic shift, with its population aged 60 and older growing at a rate four times that of the rest of the state.

To better support older adults and their families, the Ohio Department of Aging partnered with us to define a new standard of care – enhance nursing home care, fortify home- and community-based services, and advocate for healthier, more fulfilling lives.

Discover how data, compassion, and bold ambition came together to transform aging in Ohio:"
1w,
1w,"What sets top insurers apart in the AI race? It’s not experimentation, it’s deep integration.

Our latest report unpacks how a few leaders are embedding AI across the enterprise, and seeing 6.1x more growth because of it.

Curious what they’re doing differently? Take a look."
1w,"The global landscape is shifting—resilience is the new advantage.

Where to focus? Start with three fundamentals: value at stake, governance, and organizational structure.

Explore the full insights:"
1w,"Too many companies treat data products like IT projects, and miss out on real business value. 

Success takes strong data product owners who think like business leaders and tight collaboration across teams from day one.

Want to unlock more value from your data? It’s time to rethink how you lead data product programs."
1w,"Despite booming interest in fitness, a third of adults, and even more young people, aren’t moving enough. In this episode of The McKinsey Podcast, we unpack the disconnect and what it means for brands navigating today’s polarized fitness landscape.

Tune in for fresh insights on what’s next in sports and wellness:"
1w,"Today’s CEOs are in a unique position to turn disruption into advantage.

By focusing on resilience in the areas that matter most, they can protect their organizations, and help them emerge even stronger. Explore 5 key actions we outlined to help leaders build smarter, more shock-resistant companies."
1w,"When purpose has a platform, impact scales.
For Diana, that meant leveraging tech to open doors—from helping refugee children learn to code to pushing the boundaries of AI in life sciences.
Learn more about how she’s putting tech to work for something bigger ➡️"
1w,"What happens when you challenge long-held assumptions about who belongs on the factory floor?

In our latest Leading Asia interview, Rajesh Rathi shares how bringing more women into frontline roles has improved performance, and helped shape a global growth story.

Watch the full conversation."
1w,"Building with generative AI? One-off solutions won’t cut it at scale.

The most successful organizations are using open, modular architectures that let them plug in best-in-class capabilities and avoid vendor lock-in.

Explore how reusable components and smart design choices are helping leaders accelerate, and future-proof their gen AI strategies."
